trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9960079893439915}",30,0,-202.6115030478844,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.4, 'e': 0.9920319148370605}",20,0,-161.66725588913494,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.9880717128619305}",20,0,-183.88206418723624,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.984127320055285}",25,0,-72.25370982157364,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9801986733067554}",25,0,-136.8776058256208,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.9762857097579093}",25,0,-156.28983558395595,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9723883668012469}",20,0,-67.73106123371065,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9685065820791977}",25,0,-162.87221825362172,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9646402934831231}",25,0,-118.15567669041803,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9607894391523232}",20,0,-127.17487979188222,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9569539574730467}",20,0,-91.23510922228667,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9531337870775046}",20,0,-53.57168444001574,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9493288668428896}",20,0,-121.09324379389669,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.9455391358903963}",20,0,-183.01195391993258,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.9417645335842487}",25,0,-99.13443299987439,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9380049995307296}",25,0,-130.63553176843078,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.9342604735772135}",20,0,-148.23563502382783,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.9305308958112057}",20,10,-81.2602848305526,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.4, 'e': 0.9268162065593822}",30,0,-135.7949101831094,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
