trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.9622190209373,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.379882169455223,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,14,-6.729088657973573,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.716355571608,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.22370567475969,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.1260677458139,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.0510797176837,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.56375187265053,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.10129797681357,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.20418343778859,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.24018706576005,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.5290076910226,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.646093413823834,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.5153293756423,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.44859998950096,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.88104650243989,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-171.06442270987245,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-315.2745128255516,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.05554818869551,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.40796039765002,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-283.2011255494271,"{0: 13, 1: 2, 2: 10, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.82661661621866,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-91.12769193795322,"{0: 21, 1: 6, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.6501015677598,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.53543030055759,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.11362436723257,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,2,-233.00442180639337,"{0: 5, 1: 0, 2: 8, 3: 2, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.26588164110433,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.01552791161234,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.12387219904744,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
